Frequency (Hz)	Level (dB)
660.127258	-75.510483
660.800171	-74.481865
661.473083	-76.773819
662.145996	-76.078087
662.818909	-76.012993
663.491821	-74.279793
664.164734	-74.018532
664.837646	-73.388824
665.510559	-73.095650
666.183472	-75.259544
666.856384	-77.767029
667.529297	-75.912575
668.202209	-74.669365
668.875122	-73.105484
669.548035	-74.395370
670.220947	-75.081810
670.893860	-74.288330
671.566772	-73.822929
672.239685	-74.882202
672.912598	-74.529236
673.585510	-74.722099
674.258423	-76.495911
674.931335	-77.412987
675.604248	-74.195801
676.277161	-75.525734
676.950073	-74.466644
677.622986	-74.966209
678.295898	-75.197372
678.968811	-73.485497
679.641724	-73.022690
680.314636	-72.004349
680.987549	-73.416473
681.660461	-77.095268
682.333374	-76.570465
683.006287	-74.349274
683.679199	-73.461281
684.352112	-75.596146
685.025024	-73.919868
685.697937	-72.856308
686.370850	-74.595009
687.043762	-74.721291
687.716675	-73.109886
688.389587	-74.750389
689.062500	-73.897957
689.735413	-71.941109
690.408325	-72.460732
691.081238	-71.532166
691.754150	-73.444107
692.427063	-74.418152
693.099976	-73.476166
693.772888	-71.870041
694.445801	-73.356247
695.118713	-76.560730
695.791626	-72.828880
696.464539	-74.211212
697.137451	-75.069687
697.810364	-75.695724
698.483276	-76.397415
699.156189	-75.494522
699.829102	-73.908722
700.502014	-74.147804
701.174927	-72.682808
701.847839	-73.943214
702.520752	-72.358208
703.193665	-73.577148
703.866577	-73.905960
704.539490	-74.501358
705.212402	-75.370323
705.885315	-73.832840
706.558228	-73.453568
707.231140	-72.945869
707.904053	-72.654884
708.576965	-74.294182
709.249878	-72.291710
709.922791	-74.409088
710.595703	-75.763466
711.268616	-73.933929
711.941528	-72.611267
712.614441	-74.358276
713.287354	-73.472305
713.960266	-70.688492
714.633179	-72.021790
715.306091	-74.305840
715.979004	-73.954796
716.651917	-72.615707
717.324829	-73.676155
717.997742	-73.298477
718.670654	-76.136322
719.343567	-73.109009
720.016479	-72.192879
720.689392	-73.210236
721.362305	-70.669670
722.035217	-70.607635
722.708130	-72.434494
723.381042	-72.549309
724.053955	-71.845169
724.726868	-69.889175
725.399780	-72.430321
726.072693	-73.517731
726.745605	-71.980293
727.418518	-71.458847
728.091431	-71.442795
728.764343	-73.776794
729.437256	-73.861137
730.110168	-72.282288
730.783081	-70.903282
731.455994	-71.483559
732.128906	-71.664268
732.801819	-72.533173
733.474731	-71.937225
734.147644	-71.994148
734.820557	-72.027275
735.493469	-72.387383
736.166382	-70.161201
736.839294	-69.056023
737.512207	-72.199821
738.185120	-72.391907
738.858032	-69.620811
739.530945	-73.001488
740.203857	-70.864868
740.876770	-69.643486
741.549683	-70.123528
742.222595	-69.706886
742.895508	-70.993500
743.568420	-70.284103
744.241333	-70.833618
744.914246	-69.681351
745.587158	-69.017395
746.260071	-68.837189
746.932983	-68.891388
747.605896	-68.840393
748.278809	-70.151711
748.951721	-70.902008
749.624634	-66.384506
750.297546	-69.901711
750.970459	-72.021919
751.643372	-70.341858
752.316284	-70.671127
752.989197	-69.446907
753.662109	-69.625793
754.335022	-71.546883
755.007935	-68.647255
755.680847	-67.550880
756.353760	-70.118820
757.026672	-68.364761
757.699585	-67.571457
758.372498	-69.924309
759.045410	-67.396912
759.718323	-66.892715
760.391235	-68.118942
761.064148	-67.855888
761.737061	-67.071457
762.409973	-65.992470
763.082886	-67.510666
763.755798	-65.398804
764.428711	-68.789413
765.101624	-65.991539
765.774536	-67.879555
766.447449	-68.704506
767.120361	-66.601830
767.793274	-67.782478
768.466187	-64.471489
769.139099	-68.033318
769.812012	-65.983856
770.484924	-65.124451
771.157837	-65.525764
771.830750	-65.321556
772.503662	-65.867439
773.176575	-66.195633
773.849487	-65.164734
774.522400	-64.843971
775.195312	-64.548538
775.868225	-63.928345
776.541138	-65.905891
777.214050	-65.272079
777.886963	-64.764702
778.559875	-63.387165
779.232788	-63.618683
779.905701	-65.344315
780.578613	-62.332062
781.251526	-63.382492
781.924438	-63.405628
782.597351	-65.364258
783.270264	-61.406815
783.943176	-62.620930
784.616089	-62.005184
785.289001	-62.630615
785.961914	-62.755772
786.634827	-63.427689
787.307739	-65.634598
787.980652	-62.004601
788.653564	-62.375404
789.326477	-60.028450
789.999390	-62.224777
790.672302	-59.830841
791.345215	-60.341793
792.018127	-61.547112
792.691040	-61.305851
793.363953	-59.747707
794.036865	-59.762611
794.709778	-58.298019
795.382690	-60.030247
796.055603	-59.345020
796.728516	-59.788811
797.401428	-61.055008
798.074341	-62.392128
798.747253	-59.827263
799.420166	-58.833443
800.093079	-61.899460
800.765991	-60.288918
801.438904	-61.539543
802.111816	-59.556313
802.784729	-62.461723
803.457642	-60.456135
804.130554	-59.856956
804.803467	-60.279713
805.476379	-60.227993
806.149292	-60.156059
806.822205	-60.822388
807.495117	-59.466553
808.168030	-60.273094
808.840942	-60.340767
809.513855	-58.924892
810.186768	-60.587902
810.859680	-61.573616
811.532593	-61.728558
812.205505	-62.697659
812.878418	-61.547966
813.551331	-61.589890
814.224243	-60.040474
814.897156	-62.192825
815.570068	-62.780102
816.242981	-62.133373
816.915894	-61.507797
817.588806	-61.508472
818.261719	-63.885513
818.934631	-63.527737
819.607544	-61.641453
820.280457	-62.324730
820.953369	-62.238300
821.626282	-65.247276
822.299194	-62.569141
822.972107	-61.409531
823.645020	-63.767509
824.317932	-64.972511
824.990845	-65.593338
825.663757	-65.550690
826.336670	-65.504105
827.009583	-65.198082
827.682495	-65.850777
828.355408	-66.031265
829.028320	-64.105042
829.701233	-65.288277
830.374146	-64.375618
831.047058	-66.556831
831.719971	-65.249771
832.392883	-68.055573
833.065796	-64.830589
833.738708	-65.856483
834.411621	-66.666115
835.084534	-68.425102
835.757446	-67.936546
836.430359	-65.599701
837.103271	-68.149010
837.776184	-67.849846
838.449097	-68.072189
839.122009	-67.443657
839.794922	-67.591995
840.467834	-68.167892
841.140747	-68.022049
841.813660	-67.446281
842.486572	-68.530006
843.159485	-67.561523
843.832397	-68.178154
844.505310	-68.756363
845.178223	-68.424850
845.851135	-69.940887
846.524048	-68.700737
847.196960	-68.577415
847.869873	-67.569077
848.542786	-68.375374
849.215698	-69.837013
849.888611	-68.625923
